model,approach,avg_success_rate,total_samples,score_2ppl,score_3ppl,score_4ppl
0.5B-,deepseek-correct-5k,0.2109375,128,0,0,0
0.5B-,deepseek-correct-seq8k-1k,0.0859375,128,0,0,0
0.5B-,o3-1k,0.0078125,128,0,0,0
0.5B-,o3-5k,0.0,128,0,0,0
0.5B-,optimal-1k,0.010416666666666666,128,0,0,0
0.5B-,optimal-seq8k-5k,0.0234375,128,0,0,0
0.5B-,search-1k,0.140625,128,0,0,0
0.5B-,search-react-1k,0.03125,128,0,0,0
0.5B-,search-react-correct-seq10k-5k,0.0078125,256,0,0,0
0.5B-,search-react-seq8k-5k,0.234375,128,0,0,0
0.5B-,search-seq8k-5k,0.390625,160,0,0,0
0.5B-Instruct,base_model,0.0,128,0,0,0
1.5B-,deepseek-correct-5k,0.375,128,0,0,0
1.5B-,deepseek-correct-seq8k-1k,0.3125,128,0,0,0
1.5B-,o3-1k,0.013020833333333334,128,0,0,0
1.5B-,optimal-seq8k-5k,0.0546875,128,0,0,0
1.5B-,search-1k,0.46875,128,0,0,0
1.5B-,search-long-1k,0.328125,128,0,0,0
1.5B-,search-react-correct-seq10k-5k,0.5234375,128,0,0,0
1.5B-,search-react-seq8k-5k,0.375,128,0,0,0
1.5B-,search-seq8k-5k,0.4921875,128,0,0,0
1.5B-Instruct,base_model,0.0078125,128,0,0,0
